Key	Type	Desc	Українська [c0]
Items/Calendar	Text		Сезонний календар
Items/CalendarDesc	Text		Корисний календар, який приверне тіньового торговця, якщо його розмістити в житловому приміщенні. Залежно від сезону він буде одягати різні костюми і пропонувати нові товари.
Items/Campfire	Text		Багаття
Items/CampfireDesc	Text		Чудове місце, щоб посидіти разом, розповісти історії та підсмажити зефір до хрусткої скоринки.
Items/Candle	Text		Свічка
Items/CandleDesc	Text		Цю просту декоративну свічку можна поставити будь-де, щоб створити затишну атмосферу.
Items/CarapaceBreastArmor	Text		Нагрудник з панцира
Items/CarapaceBreastArmorDesc	Text		Органічний бронежилет, що нагадує панцир Горма, важкий і дивний на дотик.
Items/CarapaceHelm	Text		Панцирний шолом
Items/CarapaceHelmDesc	Text		Покритий хітином головний убір, який наповнює вас бажанням прокладати шляхи крізь темряву.
Items/Carpenter	Text		Столярний стіл
Items/CarpenterDesc	Text		Верстак для виготовлення декоративних меблів.
Items/Carrock	Text		Морква
Items/CarrockDesc	Text		Твердий як скеля овоч, який загартовує.
Items/CarrockRare	Text		Золота морква
Items/CarrockRareDesc	Text		Дуже рідкісний різновид звичайної моркви.
Items/CarrockSeed	Text		Морква насіннєва
Items/CarrockSeedDesc	Text		Міцне насіння, яке росте тільки в камені.
Items/CartographyTable	Text		Картографічна таблиця
Items/CartographyTableDesc	Text		Таблиця, за допомогою якої ви можете поділитися своїми відкриттями з іншими дослідниками.
Items/CattleFeedTray	Text		Годівничка
Items/CattleFeedTrayDesc	Text		Цей корисний лоток можна заповнити кормом для худоби, щоб тварини були ситими і щасливими.
Items/CaveGuppyNecklace	Text		Намисто з печерних Гуппі
Items/CaveGuppyNecklaceDesc	Text		Дивне намисто, зроблене з рибки, яка ніколи не відпускала гачок.
Items/CavePouch	Text		Печерна сумка
Items/CavePouchDesc	Text		Кожному підземному шахтареві потрібна така сумка!
Items/Caveling	Text		Спелеологія
Items/CavelingAssassin	Text		Печерний вбивця
Items/CavelingAssassinTrophy	Text		Фігурка печерного вбивці
Items/CavelingAssassinTrophyDesc	Text		Реалістичне зображення печерного вбивці
Items/CavelingBed	Text		Ліжко для спелеологів
Items/CavelingBedDesc	Text		Виглядає не дуже зручно.
Items/CavelingBread	Text		Печерний хліб
Items/CavelingBreadDesc	Text		Сухий, твердий хліб. Відчуття, ніби жуєш крейду, але наповнює шлунок.
Items/CavelingBreastArmor	Text		Спелеологічна скриня
Items/CavelingBreastArmorDesc	Text		Зроблений зі шкіри личинок, добре підходить для безперешкодного пересування в бою.
Items/CavelingBrute	Text		Печерний звір
Items/CavelingBruteTrophy	Text		Фігурка печерного звіра
Items/CavelingBruteTrophyDesc	Text		Реалістичне зображення печерного звіра.
Items/CavelingChair	Text		Стілець печерного звіра
Items/CavelingChairDesc	Text		Табурет з каменю.
Items/CavelingCoffee	Text		Печерна кава
Items/CavelingCoffeeDesc	Text		Міцна пляшкова кава, виготовлена з невідомих інгредієнтів. Після вживання важко встояти на місці.
Items/CavelingCrunch	Text		Печерний хруст
Items/CavelingCrunchDesc	Text		Тверда, солодка закуска в обгортці. Їй, мабуть, тисячі років і, можливо, вона ще кілька років буде їстівною.
Items/CavelingCup	Text		Печерна чашка
Items/CavelingCupDesc	Text		У цій маленькій чашці для пиття, мабуть, було багато різних напоїв. Зберігається слабкий запах чогось солодкого.
Items/CavelingDoll	Text		Лялька-печерниця
Items/CavelingDollDesc	Text		Лялька ручної роботи, знайдена в могилі. Мабуть, колись вона належала дитині...
Items/CavelingEffigy	Text		Печерне опудало
Items/CavelingEffigyDesc	Text		Невелике зображення печери, вона порожниста і, мабуть, використовувалася для зберігання дрібних речей.
Items/CavelingFarmerTrophy	Text		Печерна фігурка садівника
Items/CavelingFarmerTrophyDesc	Text		Реалістичне зображення печерного садівника.
Items/CavelingFloorTile	Text		Керамогранітна плитка для підлоги
Items/CavelingFloorTileDark	Text		Темна кавелінгова плитка для підлоги
Items/CavelingFloorTileDarkDesc	Text		Темна версія старовинної плитки для підлоги, яка виглядає набагато старшою.
Items/CavelingFloorTileDesc	Text		Розсипчаста кам'яна плита з простими візерунками, вкладеними в неї.
Items/CavelingGardener	Text		Кавелінговий садівник
Items/CavelingHelm	Text		Спелеологічний капюшон
Items/CavelingHelmDesc	Text		Легкий броньований капюшон, що приховує обличчя.
Items/CavelingHunter	Text		Печерний мисливець
Items/CavelingHunterTrophy	Text		Фігурка печерного мисливця
Items/CavelingHunterTrophyDesc	Text		Реалістичне зображення печерного мисливця.
Items/CavelingID	Text		Посвідчення печерного мисливця
Items/CavelingIDDesc	Text		Міцна картка, яка колись належала жителю занепалої метрополії. Їй тисяча років, але чудовий друк не потьмянів.
Items/CavelingInfectedTrophy	Text		Фігурка інфікованого спелеолога
Items/CavelingInfectedTrophyDesc	Text		Реалістичне зображення інфікованого печерника.
Items/CavelingMedal	Text		Медаль за спелеологію
Items/CavelingMedalDesc	Text		Карбований медальйон з рельєфним зображенням обличчя. Чи була вона колись вручена комусь надзвичайному?
Items/CavelingMerchant	Text		Торговець у плащі
Items/CavelingMothersRing	Text		Перстень матері кавелінга
Items/CavelingMothersRingDesc	Text		Старовинний кришталевий перстень, тримаючи його в руках, ви відчуваєте сумне почуття, яке неможливо описати.
Items/CavelingPantsArmor	Text		Підземні штани
Items/CavelingPantsArmorDesc	Text		Ці штани не прикривають багато, але роблять ваші рухи більш невловимими.
Items/CavelingPerfume	Text		Парфуми Caveling
Items/CavelingPerfumeDesc	Text		Синій флакончик для парфумів. Він щільно закритий, але випромінює божественний аромат.
Items/CavelingPot	Text		Печерний горщик
Items/CavelingPotDesc	Text		Урна з каменю, наповнена речами спелеологів.
Items/CavelingProphetMask	Text		Маска печерного пророка
Items/CavelingProphetMaskDesc	Text		Цю складну маску, схоже, носив важливий духовний діяч.
Items/CavelingSandal	Text		Сандалії для спелеологів
Items/CavelingSandalDesc	Text		Це просте взуття ідеально підходить для захисту від гарячого пустельного піску. На жаль, воно замале, щоб його могла носити людина.
Items/CavelingScholar	Text		Вчений-печерник
Items/CavelingShaman	Text		Шаман-печерник
Items/CavelingShamanTrophy	Text		Фігурка печерного шамана
Items/CavelingShamanTrophyDesc	Text		Реалістичне зображення печерного шамана.
Items/CavelingSkinTome	Text		Синій шкіряний фоліант
Items/CavelingSkinTomeDesc	Text		Старовинна книга в прошитій синій обкладинці. Це що, шкіра?
Items/CavelingSkirmisher	Text		Печерний стрілець
Items/CavelingSkirmisherTrophy	Text		Фігурка печерного стрільця
Items/CavelingSkirmisherTrophyDesc	Text		Реалістичне зображення печерного стрільця.
Items/CavelingSkull	Text		Череп печерного воїна
Items/CavelingSkullDesc	Text		Залишки того, що колись було гордою цивілізацією.
Items/CavelingSpearman	Text		Печерний списоносець
Items/CavelingSpearmanTrophy	Text		Фігурка печерного воїна Спірмена
Items/CavelingSpearmanTrophyDesc	Text		Реалістичне зображення печерного стрільця.
Items/CavelingTable	Text		Печерний стіл
Items/CavelingTableDesc	Text		Грубий, масивний предмет меблів, за яким, напевно, розділяли їжу.
Items/CavelingThrone	Text		Печерний трон
Items/CavelingThroneDesc	Text		Це незвичайне сидіння є доказом того, що імперія занепала.
Items/CavelingToilet	Text		Печерний туалет
Items/CavelingToiletDesc	Text		Між видобутком корисних копалин має бути час для серйозних справ.
Items/CavelingTrophy	Text		Фігурка спелеолога
Items/CavelingTrophyDesc	Text		Реалістичне зображення печерного людини.
Items/CeremonialFlute	Text		Церемоніальна флейта
Items/CeremonialFluteDesc	Text		Древній, дорогоцінний інструмент, але він засмічений.
Items/CharredCavelingSkull	Text		Обвуглений череп кавелінга
Items/CharredCavelingSkullDesc	Text		Невеликий череп, обгорілий до самого кісткового мозку. Вплив інтенсивного тепла протягом тривалого часу призводить до подібних наслідків.
Items/ChewyConeCandy	Text		Жувальні конусні цукерки
Items/ChewyConeCandyDesc	Text		Надзвичайно солодка цукерка, яка потрапляє в проміжок між зубами. І залишається там назавжди.
Items/ChippedPlate	Text		Відколота плита
Items/ChippedPlateDesc	Text		Стара кам'яна тарілка. Яку їжу на ній подавали?
Items/ChristmasBruteTrophy	Text		Фігурка пекаря-звіра
Items/ChristmasBruteTrophyDesc	Text		Реалістичне зображення пекарського звіра.
Items/ChristmasCavelingTrophy	Text		Фігурка пряника
Items/ChristmasCavelingTrophyDesc	Text		Реалістична фігурка пряника.
Items/ChristmasFireplace	Text		Святковий камін
Items/ChristmasFireplaceDesc	Text		Цей камін стане чудовим доповненням до будь-якої бази, коли на вулиці холодно. Потріскування вогню та запах палаючих дров додають домашнього затишку.
Items/ChristmasLightDecorationMix	Text		Святкові настінні світильники
Items/ChristmasLightDecorationMixDesc	Text		Поєднання різнокольорових вогнів для прикрашання стін.
Items/ChristmasLightDecorationPaintable	Text		Святкові настінні світильники, що фарбуються
Items/ChristmasLightDecorationPaintableDesc	Text		Невеликі різнокольорові вогники, якими можна прикрасити стіни.
Items/ChristmasLuxuryPresent	Text		Розкішний зимовий подарунок
Items/ChristmasLuxuryPresentDesc	Text		Таємничий золотий подарунок з невідомим вмістом. Відкрий його та зазирни всередину!
Items/ChristmasPresent	Text		Зимовий подарунок
Items/ChristmasPresentDesc	Text		Таємничий подарунок з невідомим вмістом. Відкрий його та зазирни всередину!
Items/ChristmasShamanTrophy	Text		Фігурка шамана Зоряний жезл
Items/ChristmasShamanTrophyDesc	Text		Реалістична фігурка шамана зі зоряним жезлом.
Items/ChristmasShroomanTrophy	Text		Фігурка Діда Мороза Шрумана
Items/ChristmasShroomanTrophyDesc	Text		Реалістичне зображення Санти Шрумана.
Items/ChristmasSlimeTrophy	Text		Фігурка снігової голови зі слизу
Items/ChristmasSlimeTrophyDesc	Text		Реалістичне зображення Сніговика Сліма.
Items/ChristmasSnowman	Text		Сніговик
Items/ChristmasSnowmanDesc	Text		Холодний хлопець, який з'явився на світ шляхом складання великих снігових кульок разом. Тримайте його поруч, щоб більше не відчувати себе самотнім.
Items/ChristmasSpikedSlimeTrophy	Text		Фігурка морквяного слимака
Items/ChristmasSpikedSlimeTrophyDesc	Text		Реалістичне зображення морквяного слимака.
Items/ChristmasStool	Text		Святковий табурет
Items/ChristmasStoolDesc	Text		Милий маленький табурет, який чудово пасуватиме до багато прикрашеного столу. На ньому важко всидіти на місці, коли потрібно відкривати подарунки.
Items/ChristmasTable	Text		Святковий стіл
Items/ChristmasTableDesc	Text		Цей великий стіл слугує прекрасною основою для того, щоб накрити чудову вечерю і зібрати сім'ю разом.
Items/ChristmasTree	Text		Прикрашена зимова ялинка
Items/ChristmasTreeDesc	Text		Святкування холодної пори року не обходиться без встановлення такої ялинки. Центральне місце на кожній гарно прикрашеній галявині або у вітальні.
Items/ChristmasWallDecorationA	Text		Прикраса стіни із зимового вінка
Items/ChristmasWallDecorationADesc	Text		Цей простий вінок буде гарно виглядати на будь-якій стіні і покаже відвідувачам, що нарешті настало свято.
Items/ChristmasWallDecorationB	Text		Прикраса стіни у вигляді святкової шкарпетки
Items/ChristmasWallDecorationBDesc	Text		Затишна шкарпетка, яку можна повісити на стіну. За традицією їх наповнювали дрібничками та цукерками.
Items/ChristmasWallDecorationC	Text		Настінний декор у вигляді цукеркової тростини
Items/ChristmasWallDecorationCDesc	Text		Дві перехрещені цукеркові палички, які скоріше для прикраси, ніж для споживання. Повісьте їх на стіну для створення зимового настрою.
Items/ChristmasWallDecorationD	Text		Прикраса для стін у вигляді зимової свічки
Items/ChristmasWallDecorationDDesc	Text		Дві зимові свічки на підсвічнику, які можна повісити на стіну. Обережно з вогнем, однак.
Items/ChristmasWallDecorationE	Text		Прикраса для стін у вигляді сніжинки
Items/ChristmasWallDecorationEDesc	Text		Ніжна сніжинка, яка чудово виглядатиме на стінах вашої оселі.
Items/ChristmasWorkbench	Text		Святковий верстак
Items/ChristmasWorkbenchDesc	Text		Цей стіл для рукоділля ідеально підходить для створення святкових прикрас для холодної пори року.
Items/Chrysalis	Text		Лялечка
Items/ChrysalisDesc	Text		Бридкий грунтовий покрив, по якому неприємно ходити. З часом личинки заселять ділянки, вкриті гусеницями.
Items/CityCavelingMoss	Text		Міський мох
Items/CityCavelingMossDesc	Text		Наземні рослини, що зустрічаються в занедбаному мегаполісі. На них ростуть крихітні ягоди, які приваблюють гусениць відповідної місцевості.
Items/CityDestructible	Text		Ящик мегаполісу
Items/CityDestructibleDesc	Text		Цей дорогоцінний контейнер містить корисні предмети, якими користувалися мешканці стародавнього міста.
Items/CityPitPillar	Text		Стовп ями метрополісу
Items/CityPitPillarDesc	Text		Несучий стовп, що утримує фундамент занепалої Метрополії.
Items/ClayCavelingMoss	Text		Глиняний мох
Items/ClayCavelingMossDesc	Text		Наземні рослини, що ростуть у Глиняних печерах. На них ростуть ароматні ягоди, які приваблюють спелеологів відповідної місцевості.
Items/ClayPot	Text		Глиняний горщик
Items/ClayPotDesc	Text		Сирий контейнер, який вже майже розбився. Розбийте його, щоб звільнити від вмісту.
Items/ClotRing	Text		Кільце згустку крові
Items/ClotRingDesc	Text		Криваво-червоний перстень, який чіпляється на палець.
Items/Cocoon	Text		Кокон
Items/CocoonTrophy	Text		Фігурка кокона
Items/CocoonTrophyDesc	Text		Реалістичне зображення кокона.
Items/ColossCicada	Text		Лушпиння цикади-велетня
Items/ColossCicadaDesc	Text		Відкинута лушпиння гігантської комахи, яка століттями живе в сплячці в землі. Коли вона з'являється, щоб прийняти свою остаточну форму, відбуваються сильні землетруси.
Items/ConceiledBlade	Text		Приховане лезо
Items/ConceiledBladeDesc	Text		Ніж, прикріплений до браслета, захований між шарами тканини. Ідеально підходить для несподіваного нападу.
Items/ConchShellNecklace	Text		Намисто з черепашок
Items/ConchShellNecklaceDesc	Text		Красиве намисто з маленькою мушлею. Якщо піднести її до вуха, можна почути далекі хвилі.
Items/ConveyorBelt	Text		Конвеєрна стрічка
Items/ConveyorBeltDesc	Text		Транспортуйте свої ресурси!
Items/CookHelm	Text		Ковпак шеф-кухаря
Items/CookHelmDesc	Text		Візитна картка кожного професійного кухаря. Доказ того, що навіть у підземеллі смак може мати пріоритет над харчуванням.
Items/CookPants	Text		Штани шеф-кухаря
Items/CookPantsDesc	Text		Ці штани з фартухом створені для того, щоб довести свою цінність у парі та спеці печерної кухні.
Items/CookShirt	Text		Куртка шеф-кухаря
Items/CookShirtDesc	Text		Це просто бездоганна біла куртка, але червона краватка робить її офіційною. Час готувати!
Items/CookedCereal	Text		Каша
Items/CookedCheese	Text		Сир
Items/CookedDipSnack	Text		Закуска
Items/CookedFillet	Text		Філе
Items/CookedFishBalls	Text		Рибні кульки
Items/CookedPudding	Text		Пудинг
Items/CookedSalad	Text		Салат
Items/CookedSmoothie	Text		Смузі
Items/CookedSoup	Text		Суп
Items/CookedSteak	Text		Стейк
Items/CookedSushi	Text		Суші
Items/CookedWrap	Text		Загорнутий
Items/CookiesAndMilk	Text		Печиво та молоко
Items/CookiesAndMilkDesc	Text		Торгувати з тим, хто вирішує, хто неслухняний, а хто чемний.
Items/CookingPot	Text		Каструля
Items/CookingPotDesc	Text		Приготування інгредієнтів розкриває їхній повний потенціал. Поєднайте два і подивіться, що вийде!
Items/CopperAnvil	Text		Мідне ковадло
Items/CopperAnvilDesc	Text		Почніть створювати обладунки для вигляду та бою.
Items/CopperBar	Text		Мідний злиток
Items/CopperBarDesc	Text		Простий металевий злиток для ковальства.
Items/CopperBreastArmor	Text		Мідний нагрудник
Items/CopperBreastArmorDesc	Text		Не маєте нагрудника? Змайструй один!
Items/CopperChest	Text		Мідна скриня
Items/CopperChestDesc	Text		Груба скриня з міді. Вона більше не замикається.
Items/CopperCrossNecklace	Text		Мідне намисто з хрестом
Items/CopperCrossNecklaceDesc	Text		Цей кулон загострює фокус, дозволяючи робити більш точні постріли.
Items/CopperHelm	Text		Мідний шолом
Items/CopperHelmDesc	Text		Нагадує більше відро, але відбиває сильні удари по голові.
Items/CopperHoe	Text		Мідна мотика
Items/CopperHoeDesc	Text		Міцне знаряддя для підготовки землі до землеробства. Покриває площу 2х2 плитки.
Items/CopperKey	Text		Мідний ключ
Items/CopperKeyDesc	Text		Грубий ключ, відлитий з міді. Десь має бути замок, в який він вставляється.
Items/CopperMiningPick	Text		Мідна кирка
Items/CopperMiningPickDesc	Text		Міцний інструмент, добре підходить для легкого руйнування стін.
Items/CopperOre	Text		Мідна руда
Items/CopperOreBoulder	Text		Валун мідної руди
Items/CopperOreDesc	Text		Часто зустрічається в брудних стінах.
Items/CopperPantsArmor	Text		Мідні штани
Items/CopperPantsArmorDesc	Text		Легко захищають гомілки.
Items/CopperShovel	Text		Мідна лопата
Items/CopperShovelDesc	Text		Міцна лопата, добре підходить для копання землі.
Items/CopperSledge	Text		Мідна кувалда
Items/CopperSledgeDesc	Text		Гарна зброя для розбивання ворогів і стін.
Items/CopperSword	Text		Мідний меч
Items/CopperSwordDesc	Text		Хороша зброя для знищення ворогів.
Items/CopperWorkbench	Text		Мідний верстак
Items/CopperWorkbenchDesc	Text		Універсальний верстак, який підготує вас до підземного світу.
Items/CoralAmulet	Text		Кораловий амулет
Items/CoralAmuletDesc	Text		Намисто з красивого коралового значка та білих камінчиків.
Items/CoralBridge	Text		Кораловий міст
Items/CoralBridgeDesc	Text		Мерехтливий міст, що підтримується кораловими стовпами, які сягають морського дна.
Items/CoralFence	Text		Кораловий паркан
Items/CoralFenceDesc	Text		Акуратний парканчик з рожевих коралів.
Items/CoralFenceGate	Text		Ворота для коралової огорожі
Items/CoralFenceGateDesc	Text		Хвіртка для коралової огорожі.
Items/CoralFloor	Text		Коралова підлога
Items/CoralFloorDesc	Text		Підлога з маленьких органічних плиток і різнокольорової гальки з морського дна.
Items/CoralPlank	Text		Коралова дошка
Items/CoralPlankDesc	Text		Кораловий дерев'яний шифер для більш точних теслярських робіт.
Items/CoralRing	Text		Коралове кільце
Items/CoralRingDesc	Text		Хитромудре кільце, природним чином вирощене з рожевих гіллястих коралів.
Items/CoralRootSeed	Text		Коралове насіння
Items/CoralRootSeedDesc	Text		Після посадки поширює корали в усіх напрямках. Росте тільки на пляжному піску.
Items/CoralWood	Text		Коралове дерево
Items/CoralWoodDesc	Text		Червоний вид коралів, який чудово підходить для виготовлення виробів.
Items/CoreEye	Text		Серцевина ірису
Items/CoreEyeDesc	Text		Штучний кристал, схожий на око ядра. Цей кристал сирий і незавершений, наче щось перервало процес.
Items/CoreProtocol1	Text		Протокол вимкнення
Items/CoreProtocol1Desc	Text		Цей блакитний слайд зображує графік раптового стрибка рівня енергії перед колапсом.
Items/CoreProtocol2	Text		Звіт про аномалії
Items/CoreProtocol2Desc	Text		На цій синій дошці зображено графік порушення попередніх патернів, що призвело до більш складних процесів.
Items/CoreProtocol3	Text		Перезаписати стенограму
Items/CoreProtocol3Desc	Text		На цій синій дошці зображено графік об'єкта, який перерозподіляє обчислювальну потужність з кількох джерел.
Items/CoreTrophy	Text		Фігурка ядра
Items/CoreTrophyDesc	Text		Реалістичне зображення ядра.
Items/Cow	Text		Мулін
Items/CrabEnemy	Text		Краб-бульбашка
Items/CrabTrophy	Text		Фігурка краба-бульбашки
Items/CrabTrophyDesc	Text		Реалістичне зображення краба-бульбашки.
Items/CritterBeetle	Text		Чорний жук
Items/CritterBeetleDesc	Text		Цей крихітний жучок з'являється в різних місцях. Зараз він шукає нову домівку.
Items/CritterCentipede	Text		Багатоніжка
Items/CritterCentipedeDesc	Text		Ця пустельна тварина має невідому кількість ніг. Щоб порахувати їх, знадобилося б дуже багато часу.
Items/CritterCockroach	Text		Клоп-шкідник
Items/CritterCockroachDesc	Text		Огидна комаха, яка рухається з неймовірною швидкістю. Зазвичай зустрічається в місцях, де є темрява, бруд і їжа.
Items/CritterCrab	Text		Місячний щипач
Items/CritterCrab2	Text		Сонячний щипач
Items/CritterCrab2Desc	Text		Цей червоно-жовтий ракоподібний завжди має підняті кігті, що надає йому, здавалося б, щасливого вигляду.
Items/CritterCrabDesc	Text		Ця синьо-фіолетова ракоподібна завжди має підняті кігті, що надає їй щасливого вигляду.
Items/CritterGrasshopper	Text		Листоїд
Items/CritterGrasshopperDesc	Text		Дуже нервовий малюк. Найменший натяк на небезпеку змушує його стрибати в безпечне місце.
Items/CritterLarva	Text	"Except for Englisch and German it should be translated as ""Small Larva"""	Маленька личинка
Items/CritterLarvaDesc	Text		Крихітна личинка, яка не завдасть вам шкоди, але любить, коли її збирають і тримають у теплій руці.
Items/CritterScorpion	Text		Маленька смерть
Items/CritterScorpionDesc	Text		Цей маленький скорпіон нешкідливий для людини, але може легко вбити менших істот, якщо йому потрібна їжа.
Items/CritterWorm	Text		Дощовий черв'як
Items/CritterWormDesc	Text		Черв'як. Нічого особливого в ньому немає.
Items/CrossCircuit	Text		Перехресний ланцюг
Items/CrossCircuitDesc	Text		Розділяє горизонтальні та вертикальні дроти. Дозволяє перетинати дроти, не підключаючи електрику. Напрямок з'єднань можна змінювати, взаємодіючи з контуром.
Items/CrownSquid	Text		Коронний кальмар
Items/CrownSquidDesc	Text		Вітаємо блідого короля води!
Items/CrudeDrill	Text		Грубе свердло
Items/CrudeDrillDesc	Text		Може дуже повільно свердлити тверді матеріали, такі як рудні валуни, коли живиться від електрики.
Items/CrystalLamp	Text		Кришталева лампа
Items/CrystalLampDesc	Text		Цей високий смолоскип, здається, генерує вогонь, трансформуючи енергію стародавнього дорогоцінного каменю.
Items/CrystalMeteorShard	Text		Кришталевий осколок метеорита
Items/CrystalMeteorShardDesc	Text		Цей шматок - лише частина величезного стародавнього коштовного каменю.
Items/CrystalMeteorShardOffhand	Text		Кришталевий метеоритний шматок
Items/CrystalMeteorShardOffhandDesc	Text		Дуже великий стародавній коштовний камінь, сплавлений з менших уламків. Він випромінює дивну енергію, яка викликає нудоту і лихоманку.
Items/CrystalSpearhead	Text		Кришталевий наконечник списа
Items/CrystalSpearheadDesc	Text		Залишки грубої доісторичної зброї, виготовленої з давнього дорогоцінного каменю. Можливо, вона допомагала первісним людям ефективніше полювати.
Items/CrystalSphere	Text		Кришталева сфера
Items/CrystalSphereDesc	Text		Невелика куля з темно-синього скла. Її призначення невідоме.
Items/CrystalStar	Text		Кришталева зірка
Items/CrystalStarDesc	Text		Скляна зірка золотистого кольору для святкового оздоблення підставки. Краще не впускати.
Items/CrystalWater	Text		Кришталева вода
Items/CrystalWaterDesc	Text		Кришталево чиста вода, яка пройшла фільтрацію через стародавні дорогоцінні камені.
Items/CupidBow	Text		Бант Купідона
Items/CupidBowDesc	Text		Лук, який влучає прямо в серце своєї цілі і має шанс закохати в себе стрільця.
Items/CupidBreastArmor	Text		Туніка Амура
Items/CupidBreastArmorDesc	Text		У цій туніці відчуваєш себе так, ніби тебе послали з небес, щоб поширювати любов.
Items/DaggerFin	Text		Кинджальний плавець
Items/DaggerFinDesc	Text		Луска цієї риби тонка, як лезо бритви.
Items/DarkBlueKelp	Text		Темно-сині водорості
Items/DarkBlueKelpDesc	Text		Темно-синій згусток морських рослин, не дуже корисний.
Items/DarkLavaEater	Text		Темний пожирач лави
Items/DarkLavaEaterDesc	Text		Темна риба з вогняним черевом, яка, здається, харчується виключно рідким каменем і коштовним камінням, що потрапило в неї.
Items/DataSlate	Text		Шифер даних
Items/DataSlateDesc	Text		Кам'яний диск зі своєрідними гравіюваннями, який повинен містити таємничі записи.
Items/DecorativePot	Text		Декоративний горщик
Items/DecorativePotDesc	Text		Якщо додати до нього рослину, він стане гарною прикрасою.
Items/DecorativeTorch1	Text		Декоративний ліхтар
Items/DecorativeTorch1Desc	Text		Безпечніша і красивіша альтернатива грубим смолоскипам.
Items/DelayCircuit	Text		Ланцюг затримки
Items/DelayCircuitDesc	Text		Запам'ятовує вхідний струм і віддає його з інтервалом в 1 секунду.
Items/DesertBreastArmor	Text		Паладинський аркан
Items/DesertBreastArmorDesc	Text		Золотий нагрудник з пришитою до нього нещільною тканиною, що дає змогу відчути себе воїном пустелі.
Items/DesertBush	Text		Пустельний чагарник
Items/DesertBushDesc	Text		Сухий кущ, здатний прожити сотні років без води.
Items/DesertCavelingMoss	Text		Долинний мох
Items/DesertCavelingMossDesc	Text		Наземні рослини, що зустрічаються в Пустелі Початків. На них ростуть запашні квіти, які приваблюють печерних птахів відповідної місцевості.
Items/DesertDestructible	Text		Пустельна квіткова посудина
Items/DesertDestructibleDesc	Text		Суха рослина, що містить природну здобич з пустелі.
Items/DesertDiamond	Text		Пустельний алмаз
Items/DesertDiamondDesc	Text		Дуже рідкісний кристал, що виблискує красивим білим світлом.
Items/DesertHelm	Text		Маска паладина
Items/DesertHelmDesc	Text		Загадкове спорядження із золотою маскою. Здається, його дарували воїнам високого рангу.
Items/DesertPantsArmor	Text		Штани паладина
Items/DesertPantsArmorDesc	Text		Широкі гаремні штани, призначені для бою, в поєднанні з парою гострих золотих черевиків.
Items/DesertRock1	Text		Пустельний камінь
Items/DesertRock1Desc	Text		Валун пісковика середнього розміру.
Items/DesertRock2Left	Text		Велика скельна дуга, звернена ліворуч
Items/DesertRock2LeftDesc	Text		Велика дуга з пісковика, ви не зовсім впевнені, як вона поміститься у вашому рюкзаку.
Items/DesertRock2Right	Text		Велика скельна дуга, звернена праворуч
Items/DesertRock2RightDesc	Text		Велика дуга з пісковика, ви не зовсім впевнені, як вона поміститься у вашому рюкзаку.
Items/DesertRock3Left	Text		Гігантська скельна дуга, звернена вліво
Items/DesertRock3LeftDesc	Text		Гігантська скельна дуга з пісковика, ви не впевнені, як вона поміститься у вашому рюкзаку.
Items/DesertRock3Right	Text		Гігантська скельна дуга, звернена праворуч
Items/DesertRock3RightDesc	Text		Гігантська дуга з пісковика, ви не будете точно впевнені, як вона поміститься у вашому рюкзаку.
Items/DesertRockSmall	Text		Невеликий пустельний камінь
Items/DesertRockSmallDesc	Text		Невеликий сухий валун з пісковика.
Items/DesertTempleDestructible	Text		Храмовий ящик
Items/DesertTempleDestructibleDesc	Text		Старовинний ящик, наповнений речами давньої цивілізації пустелі.
Items/DevilWorm	Text		Диявольський черв'як
Items/DevilWormDesc	Text		Пекельне породження, що мешкає в морському грунті. Не наступайте на нього.
Items/DistilledSlime	Text		Дистильована любов
Items/DistilledSlimeDesc	Text		Цей напій з рідкісного рожевого слизу на смак нагадує цукрову пудру і змушує ваше серце тріпотіти.
Items/DistilleryTable	Text		Винокурний стіл
Items/DistilleryTableDesc	Text		Робочий стіл для виготовлення складніших зілля та вибухівки.
Items/DiverArmor	Text		Водоростева мантія
Items/DiverArmorDesc	Text		Верхній обладунок, виготовлений з довгих пасом водоростей. Тепер ви відчуваєте себе справжнім морським мешканцем.
Items/DiverHelm	Text		Водолазний шолом
Items/DiverHelmDesc	Text		Цей важкий шматок металу використовувався для дослідження глибоких вод, на жаль, зараз він протікає. Але все ще слугує гарною бронею.
Items/DiverNecklace	Text		Намисто Нептуна
Items/DiverNecklaceDesc	Text		Справжня морська дрібничка, зроблена з ламінарії та підвіски у вигляді тризуба. Прийнявши вас за міфічного морського володаря, риба буде частіше підпливати до вас.
Items/DiverPantsArmor	Text		Ласти для підводного плавання
Items/DiverPantsArmorDesc	Text		Скрипуче взуття з матеріалу, схожого на гуму. У ньому некомфортно мокнути.
Items/DiverRing	Text		Каблучка з золотою рибкою
Items/DiverRingDesc	Text		Досить жвава каблучка, яка намагається поплисти з вашого пальця. Поки вона усвідомлює, що це просто каблучка, вона вже встигає про неї забути.
Items/DoubleRing	Text		Подвійна каблучка
Items/DoubleRingDesc	Text		Ця каблучка створена для того, щоб одягати її на два пальці одночасно. Революційно.
Items/Dresser	Text		Комод
Items/DresserDesc	Text		Дозволяє змінювати спорядження, показане на вашому персонажі.
Items/DriftwoodStool	Text		Табурет з коряг
Items/DriftwoodStoolDesc	Text		Простий табурет, зроблений з пляжних матеріалів.
Items/DriftwoodTable	Text		Driftwood Table
